model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.78261,0.78261,0.782608695652174,0.782608695652174,0.78261,0.78261,0.56522,"[0.         0.26086957 0.34782609 0.65217391 0.7826087  0.86956522
 0.86956522 0.95652174 1.        ]","[0.         0.08695652 0.08695652 0.17391304 0.2173913  0.2173913
 0.30434783 0.52173913 1.        ]",0.8279773156899812
KNN,1,0.60795,0.6087,0.6,0.6190476190476191,0.65217,0.56522,0.21822,"[0.         0.26086957 0.47826087 0.56521739 0.60869565 0.65217391
 0.73913043 0.86956522 1.        ]","[0.         0.         0.13043478 0.2173913  0.26086957 0.43478261
 0.47826087 0.91304348 1.        ]",0.6899810964083176
KNN,2,0.65152,0.65217,0.6666666666666666,0.64,0.6087,0.69565,0.30551,"[0.         0.34782609 0.34782609 0.52173913 0.60869565 0.82608696
 1.        ]","[0.         0.04347826 0.08695652 0.13043478 0.30434783 0.34782609
 1.        ]",0.7665406427221172
KNN,3,0.71726,0.71739,0.7272727272727273,0.7083333333333334,0.69565,0.73913,0.43519,"[0.         0.56521739 0.60869565 0.69565217 0.7826087  0.86956522
 1.        ]","[0.         0.17391304 0.26086957 0.26086957 0.39130435 0.47826087
 1.        ]",0.7561436672967863
KNN,4,0.82576,0.82609,0.8,0.8571428571428571,0.86957,0.78261,0.65465,"[0.         0.69565217 0.69565217 0.7826087  0.86956522 0.95652174
 1.         1.        ]","[0.         0.13043478 0.17391304 0.2173913  0.2173913  0.34782609
 0.43478261 1.        ]",0.8771266540642723
KNN,5,0.84718,0.84783,0.8076923076923077,0.9,0.91304,0.78261,0.70165,"[0.         0.60869565 0.82608696 0.82608696 0.91304348 0.91304348
 0.91304348 0.95652174 1.        ]","[0.         0.13043478 0.13043478 0.17391304 0.2173913  0.26086957
 0.34782609 0.56521739 1.        ]",0.8610586011342155
KNN,6,0.71401,0.71739,0.6785714285714286,0.7777777777777778,0.82609,0.6087,0.44544,"[0.         0.30434783 0.60869565 0.65217391 0.82608696 0.82608696
 0.95652174 1.         1.        ]","[0.         0.08695652 0.13043478 0.2173913  0.30434783 0.39130435
 0.43478261 0.56521739 1.        ]",0.8251417769376181
KNN,7,0.62886,0.63043,0.6153846153846154,0.65,0.69565,0.56522,0.26312,"[0.         0.17391304 0.56521739 0.65217391 0.73913043 0.82608696
 1.        ]","[0.         0.08695652 0.34782609 0.39130435 0.47826087 0.73913043
 1.        ]",0.6332703213610587
KNN,8,0.62886,0.63043,0.6153846153846154,0.65,0.69565,0.56522,0.26312,"[0.         0.43478261 0.56521739 0.65217391 0.65217391 0.69565217
 0.86956522 0.86956522 1.        ]","[0.         0.30434783 0.34782609 0.34782609 0.43478261 0.43478261
 0.56521739 0.65217391 1.        ]",0.6474480151228732
KNN,9,0.80426,0.80435,0.7916666666666666,0.8181818181818182,0.82609,0.78261,0.60927,"[0.         0.52173913 0.7826087  0.82608696 0.86956522 0.91304348
 1.         1.        ]","[0.         0.2173913  0.2173913  0.2173913  0.26086957 0.47826087
 0.69565217 1.        ]",0.7996219281663517
