model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.58042,0.58333,0.5714285714285714,0.6,0.66667,0.5,0.16903,"[0.         0.38888889 0.38888889 0.61111111 0.66666667 0.94444444
 0.94444444 1.        ]","[0.         0.27777778 0.44444444 0.5        0.5        0.5
 0.55555556 1.        ]",0.6311728395061729
KNN,1,0.55418,0.55556,0.55,0.5625,0.61111,0.5,0.1118,"[0.         0.38888889 0.5        0.55555556 0.61111111 0.61111111
 0.72222222 0.94444444 1.        ]","[0.         0.27777778 0.33333333 0.5        0.5        0.66666667
 0.66666667 0.72222222 1.        ]",0.5848765432098766
KNN,2,0.63861,0.63889,0.631578947368421,0.6470588235294118,0.66667,0.61111,0.27821,"[0.         0.16666667 0.22222222 0.61111111 0.66666667 0.77777778
 0.83333333 1.         1.        ]","[0.         0.05555556 0.05555556 0.16666667 0.38888889 0.44444444
 0.61111111 0.61111111 1.        ]",0.7561728395061728
KNN,3,0.77709,0.77778,0.75,0.8125,0.83333,0.72222,0.55902,"[0.         0.33333333 0.44444444 0.77777778 0.83333333 0.83333333
 0.88888889 1.         1.        ]","[0.         0.         0.16666667 0.22222222 0.27777778 0.33333333
 0.44444444 0.61111111 1.        ]",0.83179012345679
KNN,4,0.55,0.55556,0.5714285714285714,0.5454545454545454,0.44444,0.66667,0.11396,"[0.         0.27777778 0.38888889 0.38888889 0.44444444 0.55555556
 0.72222222 1.        ]","[0.         0.11111111 0.22222222 0.33333333 0.33333333 0.5
 0.61111111 1.        ]",0.5848765432098766
KNN,5,0.74981,0.75,0.7647058823529411,0.7368421052631579,0.72222,0.77778,0.50077,"[0.         0.38888889 0.55555556 0.66666667 0.72222222 0.83333333
 0.88888889 1.        ]","[0.         0.05555556 0.05555556 0.16666667 0.22222222 0.44444444
 0.5        1.        ]",0.8101851851851851
KNN,6,0.71875,0.72222,0.6818181818181818,0.7857142857142857,0.83333,0.61111,0.45584,"[0.         0.5        0.66666667 0.72222222 0.77777778 0.88888889
 0.94444444 1.        ]","[0.         0.16666667 0.22222222 0.27777778 0.38888889 0.38888889
 0.61111111 1.        ]",0.7777777777777778
KNN,7,0.63179,0.63889,0.6923076923076923,0.6086956521739131,0.5,0.77778,0.28916,"[0.         0.27777778 0.38888889 0.5        0.5        0.72222222
 0.77777778 0.83333333 1.        ]","[0.         0.11111111 0.11111111 0.16666667 0.22222222 0.33333333
 0.33333333 0.72222222 1.        ]",0.7037037037037037
KNN,8,0.8042,0.80556,0.8666666666666667,0.7619047619047619,0.72222,0.88889,0.61978,"[0.         0.22222222 0.33333333 0.5        0.72222222 0.77777778
 0.83333333 1.         1.        ]","[0.         0.05555556 0.05555556 0.05555556 0.11111111 0.11111111
 0.22222222 0.33333333 1.        ]",0.8981481481481481
KNN,9,0.71429,0.72222,0.6666666666666666,0.8333333333333334,0.88889,0.55556,0.4714,"[0.         0.72222222 0.83333333 0.83333333 0.88888889 0.88888889
 0.94444444 1.         1.        ]","[0.         0.27777778 0.33333333 0.38888889 0.38888889 0.44444444
 0.5        0.61111111 1.        ]",0.787037037037037
KNN,10,0.6625,0.66667,0.7142857142857143,0.6363636363636364,0.55556,0.77778,0.34188,"[0.         0.27777778 0.5        0.55555556 0.66666667 0.72222222
 0.88888889 1.        ]","[0.         0.05555556 0.16666667 0.22222222 0.33333333 0.33333333
 0.33333333 1.        ]",0.7777777777777778
