model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.6532,0.65625,0.6923076923076923,0.631578947368421,0.5625,0.75,0.31814,[0.     0.5    0.5625 0.5625 0.625  0.6875 0.75   1.    ],[0.     0.125  0.1875 0.25   0.3125 0.3125 0.5625 1.    ],0.69921875
KNN,1,0.71171,0.71875,0.6666666666666666,0.8181818181818182,0.875,0.5625,0.46057,[0.     0.4375 0.5625 0.8125 0.875  0.875  0.875  1.    ],[0.     0.1875 0.25   0.3125 0.4375 0.5625 0.6875 1.    ],0.732421875
KNN,2,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.125,[0.     0.3125 0.3125 0.5    0.625  0.6875 0.75   1.    ],[0.     0.125  0.25   0.3125 0.5625 0.625  0.625  1.    ],0.59375
KNN,3,0.67611,0.6875,0.6363636363636364,0.8,0.875,0.5,0.40452,[0.     0.125  0.6875 0.75   0.875  0.875  1.     1.    ],[0.     0.125  0.375  0.5    0.5    0.625  0.9375 1.    ],0.6640625
KNN,4,0.68627,0.6875,0.7142857142857143,0.6666666666666666,0.625,0.75,0.37796,[0.     0.3125 0.4375 0.625  0.6875 0.75   0.8125 1.    ],[0.     0.     0.0625 0.25   0.3125 0.5625 0.625  1.    ],0.732421875
KNN,5,0.53079,0.53125,0.5294117647058824,0.5333333333333333,0.5625,0.5,0.06262,[0.     0.375  0.375  0.5    0.5625 0.6875 0.8125 1.    ],[0.     0.4375 0.5    0.5    0.5    0.625  0.625  1.    ],0.5234375
KNN,6,0.70462,0.71875,0.6521739130434783,0.8888888888888888,0.9375,0.5,0.48653,[0.     0.75   0.875  0.9375 0.9375 1.    ],[0.     0.3125 0.5    0.5    0.625  1.    ],0.75
KNN,7,0.625,0.625,0.625,0.625,0.625,0.625,0.25,[0.     0.25   0.5    0.5625 0.625  0.6875 0.75   1.    ],[0.     0.125  0.1875 0.3125 0.375  0.375  0.5    1.    ],0.669921875
KNN,8,0.65591,0.65625,0.6470588235294118,0.6666666666666666,0.6875,0.625,0.31311,[0.     0.5    0.625  0.6875 0.8125 0.875  1.    ],[0.     0.25   0.3125 0.375  0.375  0.5    1.    ],0.712890625
KNN,9,0.42857,0.4375,0.45,0.4166666666666667,0.5625,0.3125,-0.1291,[0.     0.3125 0.375  0.5625 0.5625 0.6875 0.6875 1.    ],[0.     0.3125 0.3125 0.5625 0.6875 0.6875 0.75   1.    ],0.490234375
KNN,10,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.     0.3125 0.625  0.75   0.8125 0.875  0.875  1.    ],[0.     0.125  0.25   0.25   0.375  0.5625 0.75   1.    ],0.732421875
KNN,11,0.59015,0.59375,0.5789473684210527,0.6153846153846154,0.6875,0.5,0.19089,[0.     0.4375 0.5    0.625  0.6875 0.75   0.8125 0.9375 1.    ],[0.     0.125  0.1875 0.3125 0.5    0.5    0.625  0.8125 1.    ],0.693359375
KNN,12,0.57333,0.59375,0.5652173913043478,0.6666666666666666,0.8125,0.375,0.20851,[0.     0.4375 0.625  0.75   0.875  1.    ],[0.     0.4375 0.5    0.5    0.75   1.    ],0.56640625
KNN,13,0.53079,0.53125,0.5333333333333333,0.5294117647058824,0.5,0.5625,0.06262,[0.    0.25  0.375 0.375 0.5   0.625 1.   ],[0.     0.3125 0.3125 0.375  0.4375 0.5625 1.    ],0.515625
KNN,14,0.61134,0.625,0.5909090909090909,0.7,0.8125,0.4375,0.26968,[0.     0.5625 0.75   0.8125 0.875  0.875  1.    ],[0.     0.5    0.5    0.5625 0.6875 0.75   1.    ],0.583984375
KNN,15,0.59335,0.59375,0.6,0.5882352941176471,0.5625,0.625,0.18787,[0.     0.0625 0.5625 0.5625 0.6875 1.    ],[0.     0.0625 0.25   0.375  0.375  1.    ],0.658203125
KNN,16,0.6532,0.65625,0.631578947368421,0.6923076923076923,0.75,0.5625,0.31814,[0.     0.375  0.625  0.75   0.8125 0.875  1.    ],[0.     0.375  0.375  0.4375 0.5    0.5    1.    ],0.630859375
KNN,17,0.68254,0.6875,0.65,0.75,0.8125,0.5625,0.3873,[0.     0.4375 0.6875 0.8125 0.875  1.    ],[0.     0.1875 0.3125 0.4375 0.5625 1.    ],0.720703125
KNN,18,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.     0.25   0.375  0.625  0.75   0.8125 0.875  0.875  1.    ],[0.     0.25   0.25   0.25   0.25   0.3125 0.3125 0.5    1.    ],0.712890625
KNN,19,0.56078,0.5625,0.5714285714285714,0.5555555555555556,0.5,0.625,0.12599,[0.     0.25   0.4375 0.5    0.8125 0.8125 1.    ],[0.     0.125  0.25   0.375  0.4375 0.6875 1.    ],0.64453125
KNN,20,0.65591,0.65625,0.6470588235294118,0.6666666666666666,0.6875,0.625,0.31311,[0.     0.5625 0.5625 0.6875 0.8125 0.875  0.875  1.    ],[0.     0.1875 0.3125 0.375  0.6875 0.75   0.8125 1.    ],0.6796875
KNN,21,0.63897,0.65625,0.7777777777777778,0.6086956521739131,0.4375,0.875,0.34752,[0.     0.0625 0.4375 0.5625 0.75   1.     1.    ],[0.     0.     0.125  0.3125 0.5625 0.875  1.    ],0.6875
KNN,22,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.125,[0.     0.375  0.4375 0.5625 0.625  0.75   0.8125 1.    ],[0.     0.125  0.1875 0.4375 0.5    0.625  0.625  1.    ],0.63671875
KNN,23,0.56078,0.5625,0.5714285714285714,0.5555555555555556,0.5,0.625,0.12599,[0.     0.4375 0.4375 0.5    0.6875 1.    ],[0.     0.1875 0.3125 0.375  0.5625 1.    ],0.60546875
KNN,24,0.49804,0.5,0.5,0.5,0.4375,0.5625,0.0,[0.     0.3125 0.3125 0.375  0.4375 0.4375 0.625  0.6875 1.    ],[0.     0.0625 0.1875 0.25   0.4375 0.5    0.5    0.8125 1.    ],0.537109375
KNN,25,0.625,0.625,0.625,0.625,0.625,0.625,0.25,[0.     0.5    0.625  0.625  0.8125 0.875  0.9375 1.    ],[0.     0.25   0.3125 0.375  0.375  0.625  0.6875 1.    ],0.70703125
KNN,26,0.58358,0.59375,0.6363636363636364,0.5714285714285714,0.4375,0.75,0.19739,[0.     0.3125 0.375  0.375  0.4375 0.5625 0.6875 1.    ],[0.     0.125  0.125  0.1875 0.25   0.4375 0.4375 1.    ],0.63671875
KNN,27,0.68254,0.6875,0.65,0.75,0.8125,0.5625,0.3873,[0.     0.5    0.5625 0.5625 0.8125 0.8125 1.    ],[0.     0.     0.125  0.1875 0.4375 0.5625 1.    ],0.771484375
