model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
Stacking,0,0.41558,0.44444,0.46153846153846156,0.4,0.66667,0.22222,-0.12403,"[0.         0.11111111 0.44444444 0.66666667 0.77777778 0.77777778
 1.        ]","[0.         0.         0.77777778 0.77777778 0.88888889 1.
 1.        ]",0.3827160493827161
RandomForest,0,0.25714,0.27778,0.16666666666666666,0.3333333333333333,0.11111,0.44444,-0.4714,"[0.         0.         0.         0.11111111 0.66666667 0.88888889
 1.        ]","[0.         0.22222222 0.33333333 0.55555556 0.77777778 1.
 1.        ]",0.27160493827160487
DecisionTree,0,0.41558,0.44444,0.46153846153846156,0.4,0.66667,0.22222,-0.12403,"[0.         0.         0.11111111 0.44444444 0.66666667 0.88888889
 1.         1.        ]","[0.         0.33333333 0.33333333 0.33333333 0.77777778 0.77777778
 0.88888889 1.        ]",0.462962962962963
KNN,0,0.21739,0.27778,0.35714285714285715,0.0,0.55556,0.0,-0.53452,"[0.         0.         0.         0.22222222 0.22222222 0.33333333
 0.33333333 1.        ]","[0.         0.11111111 0.44444444 0.44444444 0.77777778 0.77777778
 1.         1.        ]",0.14814814814814814
LocalOutlierFactor,0,0.33779,0.38889,0.25,0.42857142857142855,0.11111,0.66667,-0.26726,"[0.         0.11111111 0.11111111 0.22222222 0.22222222 0.44444444
 0.44444444 0.55555556 0.55555556 1.         1.        ]","[0.         0.         0.11111111 0.11111111 0.33333333 0.33333333
 0.44444444 0.44444444 0.66666667 0.66666667 1.        ]",0.5679012345679013
IsolationForest,0,0.28,0.38889,0.0,0.4375,0.0,0.77778,-0.35355,"[0.         0.         0.         0.66666667 0.66666667 0.88888889
 0.88888889 1.         1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.44444444 0.44444444 1.        ]",0.7283950617283951
Xgboost,0,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,"[0.         0.         0.33333333 0.33333333 0.66666667 0.66666667
 0.77777778 0.77777778 0.77777778 1.        ]","[0.         0.33333333 0.33333333 0.55555556 0.55555556 0.66666667
 0.66666667 0.88888889 1.         1.        ]",0.4074074074074074
Stacking,1,0.55,0.55556,0.5454545454545454,0.5714285714285714,0.66667,0.44444,0.11396,[0.         0.22222222 0.66666667 0.77777778 1.         1.        ],[0.         0.11111111 0.55555556 0.66666667 0.88888889 1.        ],0.5987654320987654
RandomForest,1,0.49845,0.5,0.5,0.5,0.55556,0.44444,0.0,"[0.         0.         0.33333333 0.44444444 0.44444444 0.66666667
 0.88888889 0.88888889 1.        ]","[0.         0.22222222 0.22222222 0.33333333 0.44444444 0.66666667
 0.77777778 1.         1.        ]",0.5
DecisionTree,1,0.6,0.61111,0.6666666666666666,0.5833333333333334,0.44444,0.77778,0.2357,[0.         0.33333333 0.44444444 0.88888889 1.         1.        ],[0.         0.22222222 0.22222222 0.33333333 0.55555556 1.        ],0.7654320987654322
