model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.7 0.7 0.9 0.9 1. ],[0.  0.  0.1 0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.9 0.9 1.  1. ],0.49
RandomForest,0,0.74425,0.75,0.8571428571428571,0.6923076923076923,0.6,0.9,0.52414,[0.  0.4 0.6 0.6 1. ],[0.  0.1 0.1 0.2 1. ],0.7200000000000001
DecisionTree,0,0.74425,0.75,0.8571428571428571,0.6923076923076923,0.6,0.9,0.52414,[0.  0.6 1. ],[0.  0.1 1. ],0.7500000000000001
KNN,0,0.6875,0.7,0.8333333333333334,0.6428571428571429,0.5,0.9,0.43644,[0.  0.3 0.5 0.6 0.8 1. ],[0.  0.1 0.1 0.2 0.9 1. ],0.6499999999999999
LocalOutlierFactor,0,0.47917,0.5,0.5,0.5,0.3,0.7,0.0,[0.  0.1 0.1 0.1 0.1 0.2 0.2 0.3 0.7 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.2 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],0.39
IsolationForest,0,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.1 0.2 0.2 0.5 0.5 0.6 0.6 0.9 0.9 1. ],[0.  0.  0.  0.1 0.1 0.6 0.6 0.8 0.8 1.  1. ],0.5700000000000001
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.9 0.9 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.8 0.8 1.  1. ],0.49
RandomForest,1,0.64194,0.65,0.7142857142857143,0.6153846153846154,0.5,0.8,0.31449,[0.  0.1 0.4 0.4 0.5 0.5 0.6 0.9 0.9 1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.7 1. ],0.8099999999999999
DecisionTree,1,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.4 0.6 1. ],[0.  0.1 0.6 1. ],0.5900000000000001
KNN,1,0.49495,0.5,0.5,0.5,0.4,0.6,0.0,[0.  0.4 0.4 0.6 0.9 0.9 1. ],[0.  0.2 0.4 0.4 0.5 0.8 1. ],0.655
LocalOutlierFactor,1,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.1 0.5 1.  1. ],[0.  0.2 0.3 0.7 0.9 1. ],0.375
IsolationForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.  0.6 0.6 0.7 0.7 0.8 0.8 1. ],0.45
RSEllipticEnvelope,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.4 0.4 0.5 0.5 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.1 0.1 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],0.54
RandomForest,2,0.53964,0.55,0.5384615384615384,0.5714285714285714,0.7,0.4,0.10483,[0.  0.1 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.  0.  0.2 0.2 0.3 0.3 0.5 0.6 0.6 0.7 0.7 1. ],0.6749999999999999
DecisionTree,2,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.4 0.7 1. ],[0.  0.3 0.4 1. ],0.625
KNN,2,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.2 0.3 0.5 0.6 0.9 1. ],[0.  0.  0.3 0.3 0.4 0.4 1. ],0.7
LocalOutlierFactor,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.5 1. ],[0.  0.7 1. ],0.4
IsolationForest,2,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.1 0.1 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1. ],[0.  0.  0.1 0.1 0.2 0.2 0.4 0.4 0.7 0.7 0.8 0.8 1.  1. ],0.56
RSEllipticEnvelope,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.5 0.5 0.6 0.6 0.7 0.7 1. ],[0.  0.1 0.1 0.6 0.6 0.9 0.9 1.  1. ],0.5
RandomForest,3,0.64912,0.65,0.6363636363636364,0.6666666666666666,0.7,0.6,0.30151,[0.  0.  0.  0.4 0.4 0.6 0.7 0.7 0.8 0.8 1.  1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.3 0.4 0.5 0.6 0.6 0.8 1. ],0.665
DecisionTree,3,0.74425,0.75,0.6923076923076923,0.8571428571428571,0.9,0.6,0.52414,[0.  0.9 1. ],[0.  0.4 1. ],0.75
KNN,3,0.58333,0.6,0.5714285714285714,0.6666666666666666,0.8,0.4,0.21822,[0.  0.  0.8 0.9 1. ],[0.  0.2 0.6 0.6 1. ],0.54
LocalOutlierFactor,3,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.3 0.8 0.8 1.  1. ],[0.  0.3 0.7 0.9 0.9 1. ],0.525
IsolationForest,3,0.52,0.55,0.6,0.5333333333333333,0.3,0.8,0.11547,[0.  0.  0.  0.4 0.4 0.5 0.5 0.7 0.7 1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.6 0.6 1.  1. ],0.42
RSEllipticEnvelope,4,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.3 0.3 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.6 0.6 0.7 0.7 0.9 0.9 1. ],0.6
RandomForest,4,0.43734,0.45,0.46153846153846156,0.42857142857142855,0.6,0.3,-0.10483,[0.  0.  0.3 0.3 0.5 0.6 0.6 0.9 0.9 1. ],[0.  0.1 0.1 0.3 0.5 0.5 0.9 0.9 1.  1. ],0.47
DecisionTree,4,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.2 0.5 1. ],[0.  0.2 0.6 1. ],0.46
KNN,4,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.2 0.2 0.3 0.3 0.5 0.5 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.42999999999999994
LocalOutlierFactor,4,0.43734,0.45,0.42857142857142855,0.46153846153846156,0.3,0.6,-0.10483,[0.  0.2 0.2 0.3 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.2 0.2 0.5 0.5 0.6 0.6 0.8 0.8 1.  1. ],0.585
IsolationForest,4,0.48718,0.55,0.6666666666666666,0.5294117647058824,0.2,0.9,0.14003,[0.  0.1 0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],0.5499999999999999
RSEllipticEnvelope,5,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.  0.2 0.2 0.4 0.4 0.5 0.5 0.8 0.8 0.9 0.9 1. ],0.72
RandomForest,5,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.3 0.3 0.4 0.4 0.6 0.8 0.8 0.9 1. ],[0.  0.3 0.4 0.4 0.6 0.6 0.6 0.8 0.8 1. ],0.505
DecisionTree,5,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.5 1. ],[0.  0.6 1. ],0.45000000000000007
KNN,5,0.52,0.55,0.5333333333333333,0.6,0.8,0.3,0.11547,[0.  0.1 0.8 0.8 1. ],[0.  0.3 0.5 0.9 1. ],0.515
LocalOutlierFactor,5,0.59596,0.6,0.5833333333333334,0.625,0.7,0.5,0.20412,[0.  0.  0.  0.2 0.2 0.4 0.4 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.3 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],0.39
IsolationForest,5,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.7 0.7 0.8 0.8 1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.7 1.  1. ],0.45
RSEllipticEnvelope,6,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1. ],0.36
RandomForest,6,0.64194,0.65,0.6153846153846154,0.7142857142857143,0.8,0.5,0.31449,[0.  0.1 0.2 0.2 0.3 0.6 0.6 0.8 0.8 0.8 0.8 1. ],[0.  0.2 0.2 0.3 0.3 0.4 0.5 0.5 0.6 0.8 1.  1. ],0.535
DecisionTree,6,0.34837,0.35,0.36363636363636365,0.3333333333333333,0.4,0.3,-0.30151,[0.  0.4 1. ],[0.  0.7 1. ],0.35
KNN,6,0.4,0.4,0.4,0.4,0.4,0.4,-0.2,[0.  0.  0.4 0.8 1.  1. ],[0.  0.3 0.6 0.8 0.9 1. ],0.37
LocalOutlierFactor,6,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.  0.  0.1 0.2 0.4 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.3 0.3 0.4 0.7 0.7 0.9 0.9 1.  1. ],0.35500000000000004
IsolationForest,6,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.8 0.8 1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 1.  1. ],0.65
RSEllipticEnvelope,7,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.1 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.3 0.3 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1. ],0.6799999999999999
RandomForest,7,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[0.  0.1 0.4 0.4 0.6 0.6 0.7 0.8 0.8 1. ],[0.  0.  0.  0.1 0.1 0.3 0.4 0.6 0.7 1. ],0.7250000000000001
DecisionTree,7,0.64912,0.65,0.6363636363636364,0.6666666666666666,0.7,0.6,0.30151,[0.  0.5 0.7 1. ],[0.  0.2 0.4 1. ],0.6799999999999999
KNN,7,0.56044,0.6,0.75,0.5625,0.3,0.9,0.25,[0.  0.2 0.3 0.3 0.7 0.9 1. ],[0.  0.  0.  0.1 0.3 1.  1. ],0.69
LocalOutlierFactor,7,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.7 0.9 1.  1. ],[0.  0.1 0.7 0.9 0.9 1. ],0.47000000000000003
IsolationForest,7,0.37322,0.45,0.3333333333333333,0.47058823529411764,0.1,0.8,-0.14003,[0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.6 0.9 0.9 1. ],[0.  0.  0.1 0.1 0.4 0.4 0.5 0.5 0.8 0.8 1.  1. ],0.5
RSEllipticEnvelope,8,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0.  0.1 0.1 0.3 0.3 0.5 0.5 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 1. ],0.74
RandomForest,8,0.47917,0.5,0.5,0.5,0.3,0.7,0.0,[0.  0.  0.1 0.3 0.3 0.5 0.7 0.7 0.9 1.  1. ],[0.  0.1 0.3 0.3 0.4 0.5 0.7 0.8 0.8 0.9 1. ],0.46499999999999997
DecisionTree,8,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[0.  0.6 1. ],[0.  0.4 1. ],0.6
KNN,8,0.39394,0.4,0.375,0.4166666666666667,0.3,0.5,-0.20412,[0.  0.1 0.2 0.3 0.5 1.  1. ],[0.  0.1 0.5 0.5 0.5 0.8 1. ],0.49
LocalOutlierFactor,8,0.43734,0.45,0.42857142857142855,0.46153846153846156,0.3,0.6,-0.10483,[0.  0.1 0.3 0.6 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.5 0.6 0.6 0.7 0.7 1. ],0.7649999999999999
IsolationForest,8,0.25926,0.35,0.0,0.4117647058823529,0.0,0.7,-0.42008,[0.  0.1 0.3 0.3 0.6 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.  0.  0.2 0.2 0.4 0.4 0.5 0.5 0.7 0.7 1. ],0.71
RSEllipticEnvelope,9,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.9 0.9 1. ],[0.  0.  0.  0.2 0.2 0.3 0.3 0.7 0.7 0.8 0.8 1.  1. ],0.52
RandomForest,9,0.54887,0.55,0.5454545454545454,0.5555555555555556,0.6,0.5,0.1005,[0.  0.2 0.3 0.6 0.6 0.6 0.7 1. ],[0.  0.  0.2 0.2 0.4 0.7 0.7 1. ],0.605
DecisionTree,9,0.43734,0.45,0.42857142857142855,0.46153846153846156,0.3,0.6,-0.10483,[0.  0.3 0.3 0.6 1. ],[0.  0.  0.4 0.6 1. ],0.53
KNN,9,0.64912,0.65,0.6363636363636364,0.6666666666666666,0.7,0.6,0.30151,[0.  0.  0.7 0.7 1. ],[0.  0.1 0.4 0.6 1. ],0.585
LocalOutlierFactor,9,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.4 1. ],[0.  0.3 0.4 1. ],0.52
IsolationForest,9,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.  0.1 0.1 0.6 0.6 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.4 0.4 0.6 0.6 0.8 0.8 1.  1. ],0.49
RSEllipticEnvelope,10,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.4 0.4 0.7 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.1 0.3 0.3 0.7 0.7 0.9 0.9 1.  1. ],0.61
RandomForest,10,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.  0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 0.9 0.9 1. ],0.55
DecisionTree,10,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.5 0.6 1. ],[0.  0.6 0.6 1. ],0.4700000000000001
KNN,10,0.49495,0.5,0.5,0.5,0.6,0.4,0.0,[0.  0.2 0.5 0.6 0.7 1. ],[0.  0.1 0.3 0.6 0.6 1. ],0.585
LocalOutlierFactor,10,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.1 0.1 0.3 0.4 0.5 0.5 0.6 0.6 0.8 0.8 0.9 0.9 1.  1. ],[0.  0.  0.1 0.3 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 0.9 0.9 1. ],0.525
IsolationForest,10,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 0.5 0.8 0.8 1.  1. ],0.62
RSEllipticEnvelope,11,0.48718,0.55,0.6666666666666666,0.5294117647058824,0.2,0.9,0.14003,[0.  0.1 0.1 0.5 0.5 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.1 0.1 0.7 0.7 0.9 0.9 1.  1. ],0.56
RandomForest,11,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.1 0.2 0.6 0.6 0.8 0.8 1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.5 1. ],0.625
DecisionTree,11,0.64912,0.65,0.6666666666666666,0.6363636363636364,0.6,0.7,0.30151,[0.  0.6 1. ],[0.  0.3 1. ],0.6499999999999999
KNN,11,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.2 0.5 0.5 0.6 0.7 1. ],[0.  0.  0.3 0.5 0.5 0.8 1. ],0.57
LocalOutlierFactor,11,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.6 0.8 1. ],[0.  0.5 1.  1. ],0.5
IsolationForest,11,0.37322,0.45,0.3333333333333333,0.47058823529411764,0.1,0.8,-0.14003,[0.  0.1 0.1 0.2 0.2 0.6 0.6 0.7 0.7 0.9 0.9 1.  1. ],[0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 0.7 0.7 0.8 0.8 1. ],0.64
RSEllipticEnvelope,12,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.  0.  0.3 0.3 0.6 0.6 0.9 0.9 1. ],[0.  0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.44999999999999996
RandomForest,12,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[0.  0.1 0.5 0.5 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.  0.1 0.1 0.7 0.8 0.9 0.9 1. ],0.645
DecisionTree,12,0.64912,0.65,0.6666666666666666,0.6363636363636364,0.6,0.7,0.30151,[0.  0.6 1. ],[0.  0.3 1. ],0.6499999999999999
KNN,12,0.74425,0.75,0.8571428571428571,0.6923076923076923,0.6,0.9,0.52414,[0.  0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1. ],[0.  0.  0.  0.1 0.1 0.7 0.7 0.9 0.9 1.  1. ],0.63
LocalOutlierFactor,12,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.1 0.1 0.2 0.2 0.6 0.7 0.7 1. ],[0.  0.  0.4 0.6 0.8 0.8 0.9 1.  1. ],0.24499999999999997
IsolationForest,12,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.7 1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 1.  1. ],0.49999999999999994
RSEllipticEnvelope,13,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.  0.1 0.1 0.3 0.3 1.  1. ],[0.  0.1 0.2 0.2 0.4 0.4 0.7 0.7 1. ],0.41000000000000003
RandomForest,13,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.  0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 1. ],0.6699999999999999
DecisionTree,13,0.59596,0.6,0.625,0.5833333333333334,0.5,0.7,0.20412,[0.  0.4 0.5 1. ],[0.  0.2 0.3 1. ],0.6099999999999999
KNN,13,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.  0.8 1. ],[0.  0.1 0.9 1. ],0.41000000000000003
LocalOutlierFactor,13,0.41333,0.45,0.4,0.4666666666666667,0.2,0.7,-0.11547,[0.  0.  0.  0.2 0.2 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.3 0.4 0.6 0.7 0.7 0.9 0.9 1. ],0.35500000000000004
IsolationForest,13,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.  0.1 0.1 0.4 0.4 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.7 0.7 0.9 0.9 1. ],0.49
RSEllipticEnvelope,14,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.5 0.5 0.8 0.8 0.9 0.9 1. ],[0.  0.  0.  0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 1.  1. ],0.53
RandomForest,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 0.7 0.9 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.5 0.6 0.6 0.9 1. ],0.5449999999999999
DecisionTree,14,0.6,0.6,0.6,0.6,0.6,0.6,0.2,[0.  0.6 1. ],[0.  0.4 1. ],0.6
KNN,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 1. ],[0.  0.5 1. ],0.5
LocalOutlierFactor,14,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.9 0.9 1. ],[0.  0.  0.4 0.9 1.  1. ],0.38
IsolationForest,14,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.1 0.1 0.4 0.4 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.  0.3 0.3 0.4 0.4 0.7 0.7 0.8 0.8 1. ],0.56
RSEllipticEnvelope,15,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.1 0.5 0.5 0.6 0.6 0.9 0.9 1.  1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.4 0.4 1. ],0.89
