model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.59501,0.59524,0.5909090909090909,0.6,0.61905,0.57143,0.19069,"[0.         0.19047619 0.28571429 0.57142857 0.61904762 0.76190476
 0.85714286 1.        ]","[0.         0.         0.04761905 0.23809524 0.42857143 0.52380952
 0.61904762 1.        ]",0.7029478458049887
RandomForest,0,0.78462,0.78571,0.8333333333333334,0.75,0.71429,0.85714,0.57735,"[0.         0.04761905 0.23809524 0.23809524 0.28571429 0.57142857
 0.57142857 0.71428571 0.71428571 0.76190476 0.76190476 0.80952381
 0.80952381 0.85714286 0.95238095 0.95238095 0.95238095 0.95238095
 1.        ]","[0.         0.         0.         0.04761905 0.0952381  0.0952381
 0.14285714 0.14285714 0.23809524 0.23809524 0.28571429 0.28571429
 0.52380952 0.57142857 0.61904762 0.66666667 0.76190476 0.9047619
 1.        ]",0.7959183673469387
DecisionTree,0,0.6903,0.69048,0.7,0.6818181818181818,0.66667,0.71429,0.38139,[0.         0.57142857 0.66666667 0.9047619  1.        ],[0.         0.19047619 0.28571429 0.47619048 1.        ],0.7619047619047619
KNN,0,0.59316,0.59524,0.5833333333333334,0.6111111111111112,0.66667,0.52381,0.19245,"[0.         0.04761905 0.0952381  0.23809524 0.52380952 0.66666667
 0.80952381 0.9047619  0.9047619  1.        ]","[0.         0.         0.         0.14285714 0.23809524 0.47619048
 0.52380952 0.71428571 0.9047619  1.        ]",0.663265306122449
LocalOutlierFactor,0,0.49281,0.5,0.5,0.5,0.38095,0.61905,0.0,"[0.         0.04761905 0.19047619 0.19047619 0.33333333 0.33333333
 0.38095238 0.38095238 0.42857143 0.42857143 0.47619048 0.47619048
 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476 0.76190476
 0.80952381 0.80952381 0.9047619  0.9047619  0.95238095 0.95238095
 1.         1.        ]","[0.         0.         0.         0.0952381  0.0952381  0.14285714
 0.14285714 0.33333333 0.33333333 0.47619048 0.47619048 0.61904762
 0.61904762 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476
 0.76190476 0.80952381 0.80952381 0.9047619  0.9047619  0.95238095
 0.95238095 1.        ]",0.5555555555555556
IsolationForest,0,0.46429,0.52381,0.5714285714285714,0.5142857142857142,0.19048,0.85714,0.06389,"[0.         0.         0.04761905 0.04761905 0.0952381  0.0952381
 0.14285714 0.14285714 0.28571429 0.28571429 0.38095238 0.38095238
 0.47619048 0.47619048 0.52380952 0.52380952 0.61904762 0.61904762
 0.66666667 0.66666667 0.76190476 0.76190476 0.80952381 0.80952381
 0.9047619  0.9047619  1.        ]","[0.         0.04761905 0.04761905 0.19047619 0.19047619 0.28571429
 0.28571429 0.33333333 0.33333333 0.42857143 0.42857143 0.47619048
 0.47619048 0.52380952 0.52380952 0.66666667 0.66666667 0.71428571
 0.71428571 0.76190476 0.76190476 0.80952381 0.80952381 0.9047619
 0.9047619  1.         1.        ]",0.42630385487528344
Xgboost,0,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,"[0.         0.04761905 0.52380952 0.52380952 0.61904762 0.61904762
 0.66666667 0.66666667 0.85714286 0.85714286 0.9047619  0.9047619
 0.95238095 1.        ]","[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.38095238 0.38095238 0.42857143 0.42857143 0.95238095
 1.         1.        ]",0.7857142857142857
KNN,1,0.59501,0.59524,0.6,0.5909090909090909,0.57143,0.61905,0.19069,[0.         0.47619048 0.61904762 0.66666667 1.        ],[0.         0.28571429 0.42857143 0.42857143 1.        ],0.6224489795918366
RandomForest,1,0.61818,0.61905,0.631578947368421,0.6086956521739131,0.57143,0.66667,0.23918,"[0.         0.04761905 0.0952381  0.0952381  0.23809524 0.23809524
 0.28571429 0.33333333 0.38095238 0.38095238 0.57142857 0.57142857
 0.61904762 0.61904762 0.80952381 0.80952381 0.95238095 0.95238095
 1.         1.        ]","[0.         0.         0.         0.04761905 0.04761905 0.19047619
 0.19047619 0.28571429 0.28571429 0.33333333 0.33333333 0.47619048
 0.47619048 0.52380952 0.52380952 0.76190476 0.76190476 0.9047619
 0.95238095 1.        ]",0.6201814058956917
DecisionTree,1,0.57576,0.59524,0.6666666666666666,0.5666666666666667,0.38095,0.80952,0.21082,"[0.         0.0952381  0.38095238 0.38095238 0.57142857 0.76190476
 0.9047619  1.        ]","[0.         0.04761905 0.14285714 0.19047619 0.42857143 0.61904762
 0.76190476 1.        ]",0.6292517006802721
