model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.60258,0.60714,0.5882352941176471,0.6363636363636364,0.71429,0.5,0.21938,"[0.         0.42857143 0.57142857 0.71428571 0.78571429 1.
 1.        ]","[0.         0.21428571 0.42857143 0.5        0.57142857 0.92857143
 1.        ]",0.6428571428571428
KNN,1,0.53512,0.53571,0.5384615384615384,0.5333333333333333,0.5,0.57143,0.07161,"[0.         0.42857143 0.5        0.5        0.57142857 0.57142857
 0.78571429 0.85714286 1.        ]","[0.         0.21428571 0.35714286 0.42857143 0.42857143 0.57142857
 0.64285714 0.71428571 1.        ]",0.6020408163265307
KNN,2,0.60664,0.60714,0.6,0.6153846153846154,0.64286,0.57143,0.21483,"[0.         0.5        0.57142857 0.64285714 0.64285714 0.71428571
 1.        ]","[0.         0.21428571 0.35714286 0.35714286 0.42857143 0.57142857
 1.        ]",0.6403061224489797
KNN,3,0.71282,0.71429,0.75,0.6875,0.64286,0.78571,0.43301,"[0.         0.07142857 0.35714286 0.35714286 0.64285714 0.71428571
 0.71428571 0.85714286 1.        ]","[0.         0.         0.         0.07142857 0.21428571 0.21428571
 0.28571429 0.78571429 1.        ]",0.7397959183673468
KNN,4,0.47594,0.5,0.5,0.5,0.71429,0.28571,0.0,"[0.         0.35714286 0.42857143 0.71428571 0.71428571 0.78571429
 1.        ]","[0.         0.21428571 0.21428571 0.35714286 0.71428571 0.71428571
 1.        ]",0.6301020408163265
KNN,5,0.71429,0.71429,0.7142857142857143,0.7142857142857143,0.71429,0.71429,0.42857,[0.         0.57142857 0.64285714 0.64285714 0.71428571 1.        ],[0.         0.21428571 0.21428571 0.28571429 0.28571429 1.        ],0.7193877551020408
KNN,6,0.60664,0.60714,0.6153846153846154,0.6,0.57143,0.64286,0.21483,[0.         0.42857143 0.57142857 0.57142857 0.71428571 1.        ],[0.         0.28571429 0.28571429 0.42857143 0.64285714 1.        ],0.5867346938775511
KNN,7,0.63542,0.64286,0.6111111111111112,0.7,0.78571,0.5,0.29814,"[0.         0.         0.71428571 0.78571429 0.85714286 0.85714286
 0.92857143 1.        ]","[0.         0.14285714 0.35714286 0.5        0.5        0.57142857
 0.85714286 1.        ]",0.6377551020408163
KNN,8,0.71282,0.71429,0.6875,0.75,0.78571,0.64286,0.43301,"[0.         0.07142857 0.42857143 0.57142857 0.78571429 1.
 1.        ]","[0.         0.07142857 0.35714286 0.35714286 0.35714286 0.85714286
 1.        ]",0.6632653061224489
KNN,9,0.67484,0.67857,0.6470588235294118,0.7272727272727273,0.78571,0.57143,0.36564,"[0.         0.35714286 0.64285714 0.71428571 0.78571429 0.85714286
 0.85714286 1.        ]","[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        1.        ]",0.7525510204081634
KNN,10,0.64286,0.64286,0.6428571428571429,0.6428571428571429,0.64286,0.64286,0.28571,[0.         0.5        0.64285714 0.64285714 0.71428571 1.        ],[0.         0.14285714 0.28571429 0.42857143 0.42857143 1.        ],0.6989795918367347
KNN,11,0.49744,0.5,0.5,0.5,0.42857,0.57143,0.0,"[0.         0.07142857 0.42857143 0.42857143 0.5        0.5
 0.78571429 1.        ]","[0.         0.14285714 0.28571429 0.42857143 0.42857143 0.64285714
 0.85714286 1.        ]",0.4744897959183673
KNN,12,0.49744,0.5,0.5,0.5,0.42857,0.57143,0.0,[0.         0.28571429 0.42857143 0.5        0.5        1.        ],[0.         0.14285714 0.42857143 0.42857143 0.57142857 1.        ],0.5153061224489796
KNN,13,0.59064,0.64286,0.5833333333333334,1.0,1.0,0.28571,0.40825,[0.         0.78571429 0.92857143 1.         1.         1.        ],[0.         0.42857143 0.57142857 0.64285714 0.85714286 1.        ],0.7168367346938775
KNN,14,0.52042,0.53571,0.5263157894736842,0.5555555555555556,0.71429,0.35714,0.07647,"[0.         0.         0.         0.64285714 0.71428571 0.85714286
 0.85714286 1.        ]","[0.         0.21428571 0.28571429 0.64285714 0.64285714 0.78571429
 1.         1.        ]",0.4107142857142857
KNN,15,0.71282,0.71429,0.75,0.6875,0.64286,0.78571,0.43301,[0.         0.5        0.64285714 0.71428571 1.        ],[0.         0.21428571 0.21428571 0.35714286 1.        ],0.7015306122448979
KNN,16,0.44664,0.46429,0.47368421052631576,0.4444444444444444,0.64286,0.28571,-0.07647,[0.         0.         0.5        0.71428571 0.92857143 1.        ],[0.         0.07142857 0.42857143 0.85714286 1.         1.        ],0.4668367346938776
KNN,17,0.64103,0.64286,0.625,0.6666666666666666,0.71429,0.57143,0.28868,"[0.         0.42857143 0.5        0.57142857 0.71428571 0.71428571
 1.        ]","[0.         0.28571429 0.28571429 0.35714286 0.42857143 0.5
 1.        ]",0.625
KNN,18,0.60258,0.60714,0.5882352941176471,0.6363636363636364,0.71429,0.5,0.21938,"[0.         0.5        0.64285714 0.71428571 0.78571429 0.78571429
 1.        ]","[0.         0.21428571 0.42857143 0.5        0.5        0.64285714
 1.        ]",0.6556122448979591
KNN,19,0.64103,0.64286,0.6666666666666666,0.625,0.57143,0.71429,0.28868,"[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.78571429
 1.        ]","[0.         0.14285714 0.21428571 0.28571429 0.28571429 0.57142857
 1.        ]",0.6224489795918366
KNN,20,0.64103,0.64286,0.6666666666666666,0.625,0.57143,0.71429,0.28868,"[0.         0.42857143 0.57142857 0.57142857 0.64285714 0.71428571
 1.        ]","[0.         0.21428571 0.21428571 0.28571429 0.35714286 0.5
 1.        ]",0.6556122448979592
KNN,21,0.66798,0.67857,0.631578947368421,0.7777777777777778,0.85714,0.5,0.38236,[0.         0.71428571 0.78571429 0.85714286 1.        ],[0.         0.35714286 0.5        0.5        1.        ],0.6989795918367347
KNN,22,0.71282,0.71429,0.75,0.6875,0.64286,0.78571,0.43301,"[0.         0.35714286 0.42857143 0.57142857 0.64285714 0.71428571
 0.92857143 0.92857143 1.        ]","[0.         0.         0.07142857 0.07142857 0.21428571 0.28571429
 0.42857143 0.5        1.        ]",0.8290816326530613
KNN,23,0.52042,0.53571,0.5555555555555556,0.5263157894736842,0.35714,0.71429,0.07647,"[0.         0.14285714 0.21428571 0.21428571 0.35714286 0.5
 0.57142857 0.71428571 1.        ]","[0.         0.21428571 0.21428571 0.28571429 0.28571429 0.35714286
 0.57142857 0.71428571 1.        ]",0.5127551020408164
KNN,24,0.53512,0.53571,0.5384615384615384,0.5333333333333333,0.5,0.57143,0.07161,"[0.         0.35714286 0.42857143 0.5        0.71428571 0.78571429
 1.        ]","[0.         0.35714286 0.35714286 0.42857143 0.5        0.5
 1.        ]",0.5867346938775511
KNN,25,0.57143,0.57143,0.5714285714285714,0.5714285714285714,0.57143,0.57143,0.14286,"[0.         0.07142857 0.5        0.57142857 0.71428571 0.71428571
 0.92857143 1.        ]","[0.         0.07142857 0.28571429 0.42857143 0.5        0.64285714
 1.         1.        ]",0.5816326530612244
KNN,26,0.53032,0.53571,0.5454545454545454,0.5294117647058824,0.42857,0.64286,0.07313,"[0.         0.28571429 0.35714286 0.35714286 0.42857143 0.5
 0.64285714 0.64285714 1.        ]","[0.         0.14285714 0.21428571 0.28571429 0.35714286 0.35714286
 0.35714286 0.42857143 1.        ]",0.6122448979591837
KNN,27,0.71282,0.71429,0.75,0.6875,0.64286,0.78571,0.43301,"[0.         0.57142857 0.64285714 0.64285714 0.78571429 0.78571429
 0.85714286 1.        ]","[0.         0.07142857 0.14285714 0.21428571 0.21428571 0.28571429
 0.28571429 1.        ]",0.8290816326530612
KNN,28,0.70053,0.71429,0.65,0.875,0.92857,0.5,0.47434,[0.         0.         0.5        0.5        0.92857143 1.        ],[0.         0.14285714 0.42857143 0.5        0.5        1.        ],0.5892857142857143
KNN,29,0.5625,0.57143,0.5555555555555556,0.6,0.71429,0.42857,0.14907,"[0.         0.35714286 0.5        0.71428571 0.71428571 0.85714286
 1.        ]","[0.         0.14285714 0.21428571 0.57142857 0.64285714 0.64285714
 1.        ]",0.6556122448979592
KNN,30,0.63542,0.64286,0.6111111111111112,0.7,0.78571,0.5,0.29814,"[0.         0.35714286 0.57142857 0.78571429 0.78571429 0.78571429
 1.        ]","[0.         0.28571429 0.35714286 0.35714286 0.64285714 0.71428571
 1.        ]",0.6198979591836734
KNN,31,0.5,0.5,0.5,0.5,0.5,0.5,0.0,"[0.         0.21428571 0.35714286 0.35714286 0.5        0.5
 0.78571429 1.        ]","[0.         0.07142857 0.14285714 0.21428571 0.42857143 0.57142857
 0.57142857 1.        ]",0.5994897959183674
KNN,32,0.38581,0.39286,0.36363636363636365,0.4117647058823529,0.28571,0.5,-0.21938,"[0.         0.         0.21428571 0.35714286 0.5        0.92857143
 1.        ]","[0.         0.07142857 0.35714286 0.64285714 0.64285714 1.
 1.        ]",0.36734693877551017
KNN,33,0.53512,0.53571,0.5384615384615384,0.5333333333333333,0.5,0.57143,0.07161,"[0.         0.28571429 0.28571429 0.5        0.57142857 0.71428571
 1.        ]","[0.         0.35714286 0.42857143 0.42857143 0.64285714 0.78571429
 1.        ]",0.461734693877551
KNN,34,0.74968,0.75,0.7333333333333333,0.7692307692307693,0.78571,0.71429,0.50128,"[0.         0.5        0.64285714 0.71428571 0.78571429 0.78571429
 0.92857143 0.92857143 1.        ]","[0.         0.07142857 0.21428571 0.28571429 0.28571429 0.42857143
 0.42857143 0.64285714 1.        ]",0.8035714285714286
