model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],0.5
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.5 1.  1. ],[0.  0.  0.5 1. ],0.875
KNN,2,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1. ],[0. 0. 1.],0.75
KNN,3,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0. 1. 1.],[0.  0.5 1. ],0.75
KNN,4,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0.  0.5 0.5 1.  1. ],[0.  0.  0.5 0.5 1. ],0.75
KNN,5,0.2,0.25,0.0,0.3333333333333333,0.0,0.5,-0.57735,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],0.5
KNN,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0.  0.5 1.  1. ],[0. 0. 0. 1.],1.0
KNN,7,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 0.5 1. ],[0.  0.  0.5 1. ],0.625
KNN,8,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.5 0.5 1. ],[0.  0.  0.5 1. ],0.625
KNN,9,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0. 1. 1.],[0. 0. 1.],1.0
KNN,10,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0.  0.5 1.  1. ],[0.  0.  0.5 1. ],0.875
KNN,11,0.2,0.25,0.0,0.3333333333333333,0.0,0.5,-0.57735,[0.  0.  0.5 1. ],[0.  0.5 1.  1. ],0.125
KNN,12,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1.  1. ],[0. 0. 0. 1.],1.0
KNN,13,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0.  0.5 1.  1. ],[0.  0.  0.5 1. ],0.875
KNN,14,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 0. 1.],[0.  0.5 1. ],0.25
KNN,15,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 0.5 1. ],[0. 0. 1. 1.],0.5
KNN,16,0.2,0.25,0.3333333333333333,0.0,0.5,0.0,-0.57735,[0.  0.  0.5 0.5 1. ],[0.  0.5 0.5 1.  1. ],0.25
KNN,17,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 0.5 1. ],[0.  0.  0.5 1. ],0.625
KNN,18,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 0.5 1. ],[0.  0.  0.5 1. ],0.625
KNN,19,0.2,0.25,0.3333333333333333,0.0,0.5,0.0,-0.57735,[0. 0. 1.],[0. 1. 1.],0.0
KNN,20,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1. 1.],[0.  0.5 1. ],0.75
KNN,21,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 0.5 1. ],[0. 0. 1. 1.],0.5
KNN,22,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 0. 1.],[0.  0.5 1. ],0.25
KNN,23,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.  0.5 1. ],[0.  0.5 0.5 1. ],0.375
KNN,24,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 0.5 1. ],[0.  0.  0.5 1. ],0.625
KNN,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 1. 1.],[0. 0. 1.],1.0
KNN,26,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1. ],[0. 0. 1.],0.75
KNN,27,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.5 1.  1. ],[0.  0.5 0.5 1. ],0.625
KNN,28,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1. ],[0. 0. 1.],0.75
KNN,29,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1.  1. ],[0.  0.  0.5 1. ],0.875
KNN,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 1. 1.],[0. 0. 1.],1.0
KNN,31,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5
KNN,32,0.2,0.25,0.3333333333333333,0.0,0.5,0.0,-0.57735,[0.  0.5 1. ],[0. 1. 1.],0.25
KNN,33,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0. 1. 1.],[0.  0.5 1. ],0.75
KNN,34,0.73333,0.75,0.6666666666666666,1.0,1.0,0.5,0.57735,[0. 1. 1.],[0. 0. 1.],1.0
