model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.78462,0.78571,0.75,0.8333333333333334,0.85714,0.71429,0.57735,[0.         0.14285714 0.78571429 0.85714286 0.85714286 1.        ],[0.         0.         0.21428571 0.28571429 0.35714286 1.        ],0.8163265306122449
KNN,1,0.74177,0.75,0.8888888888888888,0.6842105263157895,0.57143,0.92857,0.5353,"[0.         0.5        0.57142857 0.57142857 0.64285714 0.64285714
 1.        ]","[0.         0.         0.         0.07142857 0.21428571 0.35714286
 1.        ]",0.7474489795918366
KNN,2,0.56923,0.57143,0.5625,0.5833333333333334,0.64286,0.5,0.14434,"[0.         0.         0.42857143 0.64285714 0.71428571 0.92857143
 1.        ]","[0.         0.07142857 0.5        0.5        0.5        1.
 1.        ]",0.5025510204081632
KNN,3,0.60258,0.60714,0.6363636363636364,0.5882352941176471,0.5,0.71429,0.21938,"[0.         0.28571429 0.35714286 0.5        0.64285714 0.71428571
 1.        ]","[0.         0.28571429 0.28571429 0.28571429 0.42857143 0.64285714
 1.        ]",0.5739795918367347
KNN,4,0.42857,0.42857,0.42857142857142855,0.42857142857142855,0.42857,0.42857,-0.14286,"[0.         0.07142857 0.42857143 0.57142857 0.64285714 0.78571429
 1.        ]","[0.         0.14285714 0.57142857 0.64285714 0.64285714 0.85714286
 1.        ]",0.4285714285714286
KNN,5,0.67816,0.67857,0.6923076923076923,0.6666666666666666,0.64286,0.71429,0.35806,[0.         0.5        0.64285714 0.71428571 0.92857143 1.        ],[0.         0.21428571 0.28571429 0.35714286 0.85714286 1.        ],0.6913265306122449
KNN,6,0.74968,0.75,0.7333333333333333,0.7692307692307693,0.78571,0.71429,0.50128,[0.         0.71428571 0.78571429 0.78571429 0.85714286 1.        ],[0.         0.21428571 0.28571429 0.35714286 0.42857143 1.        ],0.7755102040816326
KNN,7,0.52042,0.53571,0.5555555555555556,0.5263157894736842,0.35714,0.71429,0.07647,[0.         0.28571429 0.35714286 0.35714286 0.71428571 1.        ],[0.         0.14285714 0.21428571 0.28571429 0.28571429 1.        ],0.6811224489795918
KNN,8,0.68889,0.71429,0.6363636363636364,1.0,1.0,0.42857,0.52223,"[0.         0.78571429 1.         1.         1.         1.
 1.        ]","[0.         0.42857143 0.42857143 0.57142857 0.64285714 0.78571429
 1.        ]",0.7397959183673469
KNN,9,0.67816,0.67857,0.6666666666666666,0.6923076923076923,0.71429,0.64286,0.35806,[0.         0.57142857 0.57142857 0.64285714 0.85714286 1.        ],[0.         0.21428571 0.28571429 0.35714286 0.35714286 1.        ],0.7423469387755102
